日期和時間,當下車速(公里/小時),未來車速(公里/小時)
970203 0940,84.7339,87.9551
970203 0945,87.9551,87.3631
970203 0950,87.3631,87.3631
970203 0955,87.3631,83.2302
970203 1000,83.2302,89.0633
970203 1005,89.0633,86.4868
970203 1010,86.4868,89.8164
970203 1015,89.8164,82.3736
970203 1020,82.3736,79.5686
970203 1025,79.5686,84.9054
970203 1030,84.9054,82.9577
970203 1035,82.9577,81.4503
970203 1040,81.4503,85.041
970203 1045,85.041,84.9829
970203 1050,84.9829,84.9829
970203 1055,84.9829,81.4912
970203 1100,81.4912,83.841
970203 1105,83.841,80.4252
970203 1110,80.4252,77.4626
970203 1115,77.4626,75.7413
970203 1120,75.7413,87.7041
970203 1125,87.7041,90.4032
970203 1130,90.4032,90.4892
970203 1135,90.4892,89.7088
970203 1140,89.7088,73.052
970203 1145,73.052,77.5237
970203 1150,77.5237,77.5237
970203 1155,77.5237,66.5424
970203 1200,66.5424,69.4972
970203 1205,69.4972,66.8952
970203 1210,66.8952,82.5186
970203 1215,82.5186,82.6868
970203 1220,82.6868,88.8287
970203 1225,88.8287,87.2515
970203 1230,87.2515,84.7494
970203 1235,84.7494,87.5342
970203 1240,87.5342,87.0608
970203 1245,87.0608,85.8057
970203 1250,85.8057,85.8057
970203 1255,85.8057,89.6127
970203 1300,89.6127,86.7129
970203 1305,86.7129,87.6336
970203 1310,87.6336,83.4776
970203 1315,83.4776,79.8491
970203 1320,79.8491,81.5336
970203 1325,81.5336,88.4987
970203 1330,88.4987,79.0111
970203 1335,79.0111,88.5218
970203 1340,88.5218,84.158
970203 1345,84.158,83.4745
970203 1350,83.4745,83.4745
970203 1355,83.4745,84.3589
970203 1400,84.3589,81.8802
970203 1405,81.8802,81.5566
970203 1410,81.5566,75.4194
970203 1415,75.4194,78.3656
970203 1420,78.3656,86.587
970203 1425,86.587,82.0971
970203 1430,82.0971,83.8831
970203 1435,83.8831,77.2421
970203 1440,77.2421,81.9002
970203 1445,81.9002,77.7928
970203 1450,77.7928,77.7928
970203 1455,77.7928,83.5304
970203 1500,83.5304,79.2895
970203 1505,79.2895,80.0129
970203 1510,80.0129,83.8306
970203 1515,83.8306,82.2173
970203 1520,82.2173,83.9688
970203 1525,83.9688,81.1835
970203 1530,81.1835,83.5288
970203 1535,83.5288,87.5532
970203 1540,87.5532,84.323
970203 1545,84.323,82.1046
970203 1550,82.1046,82.1046
970203 1555,82.1046,80.4503
970203 1600,80.4503,77.9264
970203 1605,77.9264,81.1609
970203 1610,81.1609,84.3602
970203 1615,84.3602,78.1002
970203 1620,78.1002,80.9201
970203 1625,80.9201,80.4462
970203 1630,80.4462,81.0588
970203 1635,81.0588,81.6406
970203 1640,81.6406,82.9835
970203 1645,82.9835,79.1996
970203 1650,79.1996,79.1996
970203 1655,79.1996,81.3903
970203 1700,81.3903,82.4487
970203 1705,82.4487,74.9384
970203 1710,74.9384,83.6031
970203 1715,83.6031,78.2436
970203 1720,78.2436,76.8738
970203 1725,76.8738,81.0227
970203 1730,81.0227,71.0769
970203 1735,71.0769,83.651
970203 1740,83.651,79.28
970203 1745,79.28,78.4044
970203 1750,78.4044,78.4044
970203 1755,78.4044,77.389
970203 1800,77.389,80.0903
970203 1805,80.0903,75.6882
970203 1810,75.6882,71.1047
970203 1815,71.1047,77.46
970203 1820,77.46,73.809
970203 1825,73.809,82.9086
970203 1830,82.9086,79.4442
970203 1835,79.4442,77.7407
970203 1840,77.7407,77.8373
970203 1845,77.8373,79.429
970203 1850,79.429,79.429
970203 1855,79.429,74.3886
970203 1900,74.3886,79.562
970203 1905,79.562,76.876
970203 1910,76.876,75.9531
970203 1915,75.9531,76.3396
970203 1920,76.3396,74.8308
970203 1925,74.8308,72.7376
970203 1930,72.7376,78.4974
970203 1935,78.4974,75.1066
970203 1940,75.1066,76.3931
970203 1945,76.3931,70.3861
970203 1950,70.3861,70.3861
970203 1955,70.3861,83.6162
970203 2000,83.6162,75.1744
970203 2005,75.1744,78.2291
970203 2010,78.2291,76.1754
970203 2015,76.1754,79.1608
970203 2020,79.1608,81.4236
970203 2025,81.4236,78.7783
970203 2030,78.7783,81.3579
970203 2035,81.3579,74.0581
970203 2040,74.0581,74.4602
970203 2045,74.4602,79.5835
970203 2050,79.5835,79.5835
970203 2055,79.5835,79.3049
970203 2100,79.3049,79.2369
970203 2105,79.2369,79.6226
970203 2110,79.6226,79.2857
970203 2115,79.2857,83.4906
970203 2120,83.4906,84.4051
970203 2125,84.4051,84.553
970203 2130,84.553,82.1356
970203 2135,82.1356,77.567
970203 2140,77.567,83.3524
970203 2145,83.3524,86.9674
970203 2150,86.9674,86.9674
970203 2155,86.9674,85.7345
970203 2200,85.7345,84.8867
970203 2205,84.8867,87.0262
970203 2210,87.0262,81.1192
970203 2215,81.1192,84.7113
970203 2220,84.7113,88.202
970203 2225,88.202,85.9379
970203 2230,85.9379,83.866
970203 2235,83.866,88.5066
970203 2240,88.5066,87.263
970203 2245,87.263,85.5589
970203 2250,85.5589,85.5589
970203 2255,85.5589,90.1099
970203 2300,90.1099,89.3745
970203 2305,89.3745,90.6122
970203 2310,90.6122,87.8268
970203 2315,87.8268,87.0476
970203 2320,87.0476,87.7461
970203 2325,87.7461,87.4696
970203 2330,87.4696,89.5696
970203 2335,89.5696,88.7451
970203 2340,88.7451,89.9171
970203 2345,89.9171,89.8673
970203 2350,89.8673,89.8673
970203 2355,89.8673,88.1581
970204 0000,88.1581,88.6571
970204 0005,88.6571,91.0984
970204 0010,91.0984,90.6335
970204 0015,90.6335,91.1484
970204 0020,91.1484,90.3786
970204 0025,90.3786,90.0719
970204 0030,90.0719,93.0164
970204 0035,93.0164,93.2553
970204 0040,93.2553,91.3826
970204 0045,91.3826,89
970204 0050,89,91.6563
970204 0055,91.6563,91.6306
970204 0100,91.6306,92.4821
970204 0105,92.4821,93.9245
970204 0110,93.9245,90.3984
970204 0115,90.3984,88.2277
970204 0120,88.2277,87.6264
970204 0125,87.6264,91.3563
970204 0130,91.3563,90.8795
970204 0135,90.8795,91.1505
970204 0140,91.1505,91.1124
970204 0145,91.1124,97.6269
970204 0150,97.6269,97.6269
970204 0155,97.6269,95.129
970204 0200,95.129,92.3077
970204 0205,92.3077,92.3478
970204 0210,92.3478,89.8814
970204 0215,89.8814,92.1091
970204 0220,92.1091,92.5273
970204 0225,92.5273,92.8833
970204 0230,92.8833,96.0794
970204 0235,96.0794,92.4576
970204 0240,92.4576,92.1463
970204 0245,92.1463,94.2045
970204 0250,94.2045,94.2045
970204 0255,94.2045,85.4783
970204 0300,85.4783,92.1163
970204 0305,92.1163,93
970204 0310,93,91.1739
970204 0315,91.1739,93.8261
970204 0320,93.8261,91.9231
970204 0325,91.9231,92.0769
970204 0330,92.0769,92.129
970204 0335,92.129,92.1667
970204 0340,92.1667,90.6286
970204 0345,90.6286,90.9714
970204 0350,90.9714,90.9714
970204 0355,90.9714,90.9714
970204 0400,90.9714,91.7143
970204 0405,91.7143,92.7813
970204 0410,92.7813,92.6857
970204 0415,92.6857,87.7105
970204 0420,87.7105,95.1282
970204 0425,95.1282,90.05
970204 0430,90.05,89.0323
970204 0435,89.0323,92.4878
970204 0440,92.4878,89.52
970204 0445,89.52,88.9348
970204 0450,88.9348,88.9348
970204 0455,88.9348,89.6136
970204 0500,89.6136,93.7619
970204 0505,93.7619,88.8222
970204 0510,88.8222,91.9259
970204 0515,91.9259,92.0938
970204 0520,92.0938,93.0462
970204 0525,93.0462,92.254
970204 0530,92.254,91.6716
970204 0535,91.6716,93.1868
970204 0540,93.1868,92.473
970204 0545,92.473,90.4537
970204 0550,90.4537,90.4537
970204 0555,90.4537,91.9375
970204 0600,91.9375,89.037
970204 0605,89.037,89.6909
970204 0610,89.6909,92.7345
970204 0615,92.7345,93.6154
970204 0620,93.6154,91
970204 0625,91,90.4028
970204 0630,90.4028,89.8347
970204 0635,89.8347,88.8754
970204 0640,88.8754,84.6497
970204 0645,84.6497,87.8128
970204 0650,87.8128,87.8128
970204 0655,87.8128,74.9905
970204 0700,74.9905,79.9169
970204 0705,79.9169,76.1609
970204 0710,76.1609,76.7318
970204 0715,76.7318,73.2939
970204 0720,73.2939,72.9198
970204 0725,72.9198,72.7383
970204 0730,72.7383,70.9727
970204 0735,70.9727,66.8485
970204 0740,66.8485,66.0537
970204 0745,66.0537,66.3798
970204 0750,66.3798,66.3798
970204 0755,66.3798,72.7234
970204 0800,72.7234,66.4288
970204 0805,66.4288,72.1207
970204 0810,72.1207,72.2568
970204 0815,72.2568,72.9489
970204 0820,72.9489,80.2273
970204 0825,80.2273,76.0827
970204 0830,76.0827,77.8142
970204 0835,77.8142,74.6233
970204 0840,74.6233,69.0131
970204 0845,69.0131,77.4067
970204 0850,77.4067,77.4067
970204 0855,77.4067,75.8896
970204 0900,75.8896,74.4634
970204 0905,74.4634,76.17
970204 0910,76.17,77.0516
970204 0915,77.0516,73.0652
970204 0920,73.0652,78.2075
970204 0925,78.2075,76.4639
970204 0930,76.4639,72.7937
970204 0935,72.7937,64.8565
970204 0940,64.8565,69.7751
970204 0945,69.7751,75.8706
970204 0950,75.8706,75.8706
970204 0955,75.8706,81.5976
970204 1000,81.5976,73.6044
970204 1005,73.6044,75.1229
970204 1010,75.1229,76.6387
970204 1015,76.6387,71.1353
970204 1020,71.1353,83.4286
970204 1025,83.4286,79.4238
970204 1030,79.4238,75.664
970204 1035,75.664,79.1542
970204 1040,79.1542,81.9091
970204 1045,81.9091,78.7349
970204 1050,78.7349,78.7349
970204 1055,78.7349,82.7364
970204 1100,82.7364,79.2294
970204 1105,79.2294,83.0023
970204 1110,83.0023,85.3753
970204 1115,85.3753,79.7249
970204 1120,79.7249,82.7986
970204 1125,82.7986,83.1233
970204 1130,83.1233,82.0625
970204 1135,82.0625,83.5617
970204 1140,83.5617,77.6406
970204 1145,77.6406,78.0916
970204 1150,78.0916,78.0916
970204 1155,78.0916,77.0579
970204 1200,77.0579,84.54
970204 1205,84.54,67.9028
970204 1210,67.9028,73.3886
970204 1215,73.3886,82.5396
970204 1220,82.5396,80.7259
970204 1225,80.7259,77.5431
970204 1230,77.5431,74.0154
970204 1235,74.0154,77.9766
970204 1240,77.9766,76.5974
970204 1245,76.5974,79.6106
970204 1250,79.6106,79.6106
970204 1255,79.6106,79.9652
970204 1300,79.9652,76.4979
970204 1305,76.4979,76.7115
970204 1310,76.7115,76.2929
970204 1315,76.2929,80.8157
970204 1320,80.8157,80.056
970204 1325,80.056,82.5165
970204 1330,82.5165,76.8925
970204 1335,76.8925,81.0128
970204 1340,81.0128,81.1848
970204 1345,81.1848,76.477
970204 1350,76.477,76.477
970204 1355,76.477,81.2611
970204 1400,81.2611,81.2402
970204 1405,81.2402,66.7396
970204 1410,66.7396,67.1111
970204 1415,67.1111,73.6644
970204 1420,73.6644,76.8596
970204 1425,76.8596,71.9472
970204 1430,71.9472,76.8639
970204 1435,76.8639,71.7982
970204 1440,71.7982,76.5398
970204 1445,76.5398,76.9471
970204 1450,76.9471,76.9471
970204 1455,76.9471,74.7802
970204 1500,74.7802,75.6505
970204 1505,75.6505,75.732
970204 1510,75.732,77.9782
970204 1515,77.9782,82.037
970204 1520,82.037,80.3603
970204 1525,80.3603,80.0646
970204 1530,80.0646,72.4824
970204 1535,72.4824,77.7979
970204 1540,77.7979,76.48
970204 1545,76.48,76.0398
970204 1550,76.0398,76.0398
970204 1555,76.0398,75.395
970204 1600,75.395,73.1509
970204 1605,73.1509,73.227
970204 1610,73.227,76.2915
970204 1615,76.2915,71.7667
970204 1620,71.7667,75.809
970204 1625,75.809,72.6409
970204 1630,72.6409,74.4589
970204 1635,74.4589,73.9342
970204 1640,73.9342,62.3227
970204 1645,62.3227,67.6867
970204 1650,67.6867,67.6867
970204 1655,67.6867,72.0423
970204 1700,72.0423,72.5453
970204 1705,72.5453,69.7306
970204 1710,69.7306,71.1015
970204 1715,71.1015,69.4854
970204 1720,69.4854,72.2154
970204 1725,72.2154,65.8848
970204 1730,65.8848,70.159
970204 1735,70.159,73.9136
970204 1740,73.9136,66.591
970204 1745,66.591,76
970204 1750,76,76
970204 1755,76,70.5365
970204 1800,70.5365,68.4053
970204 1805,68.4053,76.581
970204 1810,76.581,70.819
970204 1815,70.819,75.542
970204 1820,75.542,70.2597
970204 1825,70.2597,70.3417
970204 1830,70.3417,69.7773
970204 1835,69.7773,79.3471
970204 1840,79.3471,77.509
970204 1845,77.509,79.4222
970204 1850,79.4222,79.4222
970204 1855,79.4222,70.6043
970204 1900,70.6043,78.9414
970204 1905,78.9414,76.828
970204 1910,76.828,78.8726
970204 1915,78.8726,81.7333
970204 1920,81.7333,74.9114
970204 1925,74.9114,81.8034
970204 1930,81.8034,80.908
970204 1935,80.908,80.1268
970204 1940,80.1268,73.0529
970204 1945,73.0529,81.2469
970204 1950,81.2469,81.2469
970204 1955,81.2469,84.4663
970204 2000,84.4663,80.7428
970204 2005,80.7428,75.795
970204 2010,75.795,72.9652
970204 2015,72.9652,83.4366
970204 2020,83.4366,78.9104
970204 2025,78.9104,80.8894
970204 2030,80.8894,81.7755
970204 2035,81.7755,80.1685
970204 2040,80.1685,79.5674
970204 2045,79.5674,78.8506
970204 2050,78.8506,78.8506
970204 2055,78.8506,79.1937
970204 2100,79.1937,78.4726
970204 2105,78.4726,80.3819
970204 2110,80.3819,79.2543
970204 2115,79.2543,80.8603
970204 2120,80.8603,83.6962
970204 2125,83.6962,77.7759
970204 2130,77.7759,82.0112
970204 2135,82.0112,80.2255
970204 2140,80.2255,77.5205
970204 2145,77.5205,77.2742
970204 2150,77.2742,77.2742
970204 2155,77.2742,78.8507
970204 2200,78.8507,78.7586
970204 2205,78.7586,78.3649
970204 2210,78.3649,78.1634
970204 2215,78.1634,80.6782
970204 2220,80.6782,81.9572
970204 2225,81.9572,81.6855
970204 2230,81.6855,83.8477
970204 2235,83.8477,83.9965
970204 2240,83.9965,82.4881
970204 2245,82.4881,82.0552
970204 2250,82.0552,82.0552
970204 2255,82.0552,85.8217
970204 2300,85.8217,84.6394
970204 2305,84.6394,83.837
970204 2310,83.837,85.5813
970204 2315,85.5813,84.7391
970204 2320,84.7391,83.3787
970204 2325,83.3787,83.8015
970204 2330,83.8015,86.3028
970204 2335,86.3028,85.7237
970204 2340,85.7237,84.5582
970204 2345,84.5582,85.4435
970204 2350,85.4435,85.4435
970204 2355,85.4435,83.3846
970207 0000,83.3846,87.7547
970207 0005,87.7547,90.6042
970207 0010,90.6042,89.9821
970207 0015,89.9821,92.0563
970207 0020,92.0563,90.5815
970207 0025,90.5815,89.038
970207 0030,89.038,90.2074
970207 0035,90.2074,90.352
970207 0040,90.352,92.3111
970207 0045,92.3111,91.4239
970207 0050,91.4239,91.4239
970207 0055,91.4239,90.983
970207 0100,90.983,91.7413
970207 0105,91.7413,91.7848
970207 0110,91.7848,90.2079
970207 0115,90.2079,93.4275
970207 0120,93.4275,93.1143
970207 0125,93.1143,90.1597
970207 0130,90.1597,90.904
970207 0135,90.904,91.6589
970207 0140,91.6589,91.7931
970207 0145,91.7931,89.9107
970207 0150,89.9107,89.9107
970207 0155,89.9107,91.2159
970207 0200,91.2159,89.8367
970207 0205,89.8367,89.8193
970207 0210,89.8193,92.59
970207 0215,92.59,96.8137
970207 0220,96.8137,90.8148
970207 0225,90.8148,95.2841
970207 0230,95.2841,92.4
970207 0235,92.4,94.7528
970207 0240,94.7528,92.494
970207 0245,92.494,93.3763
970207 0250,93.3763,93.3763
970207 0255,93.3763,92.8108
970207 0300,92.8108,94.5833
970207 0305,94.5833,94.8358
970207 0310,94.8358,94.8923
970207 0315,94.8923,94.9063
970207 0320,94.9063,96.3968
970207 0325,96.3968,93.5
970207 0330,93.5,93.4918
970207 0335,93.4918,89.0377
970207 0340,89.0377,89.0377
970207 0345,89.0377,92.9153
970207 0355,92.9153,90.0196
970207 0425,90.0196,93.0704
970207 0430,93.0704,90.75
970207 0435,90.75,90.7059
970207 0440,90.7059,88.8293
970207 0445,88.8293,89.3846
970207 0450,89.3846,89.7162
970207 0455,89.7162,90.0351
970207 0500,90.0351,93.0845
970207 0505,93.0845,87.9333
970207 0510,87.9333,87.7333
970207 0515,87.7333,88.2911
970207 0520,88.2911,90.6596
970207 0525,90.6596,88.6203
970207 0530,88.6203,92.5116
970207 0535,92.5116,88.8804
970207 0540,88.8804,90.7701
970207 0545,90.7701,92.6036
970207 0550,92.6036,92.7315
970207 0600,92.7315,91.2941
970207 0605,91.2941,92.3793
970207 0610,92.3793,90.321
970207 0615,90.321,91.1892
970207 0620,91.1892,91.3077
970207 0625,91.3077,92.1881
970207 0630,92.1881,92.1557
970207 0635,92.1557,92.3571
970207 0640,92.3571,94.2903
970207 0645,94.2903,94.9811
970207 0650,94.9811,94.9811
970207 0655,94.9811,91.0986
970207 0700,91.0986,91.4715
970207 0705,91.4715,92.6667
970207 0715,92.6667,93.2087
970207 0720,93.2087,93.2185
970207 0740,93.2185,93.4464
970207 0750,93.4464,93.4464
970207 0755,93.4464,94.8228
970207 0800,94.8228,93.1591
970207 0805,93.1591,92.3212
970207 0810,92.3212,93.1205
970207 0815,93.1205,92.3624
970207 0820,92.3624,94.4076
970207 0825,94.4076,91.0692
970207 0855,91.0692,92.5028
970207 0900,92.5028,90.7946
970207 0905,90.7946,92.3567
970207 0910,92.3567,92.2308
970207 0915,92.2308,91.7665
970207 0920,91.7665,91.3681
970207 0925,91.3681,91.212
970207 0930,91.212,89.8009
970207 0935,89.8009,91.1981
970207 0940,91.1981,90.8898
970207 0945,90.8898,86.113
970207 1030,86.113,86.6835
970207 1035,86.6835,87.3549
970207 1040,87.3549,88.682
970207 1045,88.682,87.2688
970207 1050,87.2688,87.2688
970207 1055,87.2688,87.0063
970207 1100,87.0063,86.401
970207 1105,86.401,84.8107
970207 1115,84.8107,86.8141
970207 1120,86.8141,86.7963
970207 1140,86.7963,86.8141
970207 1155,86.8141,81.7557
970207 1200,81.7557,83.7971
970207 1205,83.7971,84.769
970207 1210,84.769,85.2567
970207 1215,85.2567,87.281
970207 1220,87.281,86.6146
970207 1225,86.6146,85.9561
970207 1230,85.9561,87.051
970207 1235,87.051,87.6261
970207 1240,87.6261,87.8643
970207 1245,87.8643,87.9302
970207 1250,87.9302,87.9302
970207 1255,87.9302,88.0759
970207 1300,88.0759,86.3837
970207 1305,86.3837,85.2961
970207 1310,85.2961,87.3659
970207 1315,87.3659,84.2543
970207 1320,84.2543,86.0952
970207 1325,86.0952,83.2672
970207 1330,83.2672,83.2672
970207 1335,83.2672,88.3299
970207 1355,88.3299,75.13
970207 1410,75.13,79.2182
970207 1415,79.2182,83.6761
970207 1420,83.6761,78.7277
970207 1425,78.7277,82.2925
970207 1430,82.2925,83.0647
970207 1435,83.0647,78.931
970207 1440,78.931,75.5394
970207 1445,75.5394,79.7407
970207 1450,79.7407,79.7407
970207 1455,79.7407,79.7643
970207 1500,79.7643,69.4233
970207 1530,69.4233,75.3964
970207 1535,75.3964,78.8762
970207 1540,78.8762,80.9634
970207 1545,80.9634,80.9634
970207 1550,80.9634,81.6731
970207 1555,81.6731,78.9627
970207 1615,78.9627,82.2197
970207 1620,82.2197,81.1597
970207 1625,81.1597,80.5103
970207 1630,80.5103,79.052
970207 1635,79.052,81.5625
970207 1640,81.5625,77.658
970207 1650,77.658,80.1851
970207 1655,80.1851,82.8571
970207 1700,82.8571,83.5612
970207 1705,83.5612,84.0143
970207 1710,84.0143,85.1622
970207 1715,85.1622,83.139
970207 1720,83.139,83.2968
970207 1725,83.2968,84.9247
970207 1730,84.9247,87.2753
970207 1735,87.2753,82.4963
970207 1740,82.4963,82.4963
970207 1745,82.4963,80.1851
970207 1750,80.1851,84.6883
970207 1755,84.6883,85.2703
970207 1800,85.2703,81.1657
970207 1805,81.1657,85.1838
970207 1810,85.1838,85.8776
970207 1815,85.8776,82.055
970207 1820,82.055,83.3926
970207 1825,83.3926,81.7396
970207 1830,81.7396,85.9014
970207 1835,85.9014,83.7682
970207 1840,83.7682,87.1011
970207 1845,87.1011,84.6883
970207 1850,84.6883,85.8788
970207 1855,85.8788,88.4127
970207 1900,88.4127,85.931
970207 1905,85.931,87.8201
970207 1910,87.8201,83.25
970207 1915,83.25,86.8721
970207 1920,86.8721,88.1799
970207 1925,88.1799,85.2207
970207 1930,85.2207,88.219
970207 1935,88.219,87.0952
970207 1940,87.0952,86.9631
970207 1945,86.9631,85.8788
970207 1950,85.8788,84.8328
970207 1955,84.8328,85.6075
970207 2000,85.6075,87.3841
970207 2005,87.3841,84.5086
970207 2010,84.5086,82.4721
970207 2015,82.4721,84.2415
970207 2020,84.2415,83.3887
970207 2025,83.3887,82.2244
970207 2030,82.2244,87.6237
970207 2035,87.6237,83.0476
970207 2040,83.0476,83.1957
970207 2045,83.1957,84.8328
970207 2050,84.8328,88.0707
970207 2055,88.0707,85.9654
970207 2100,85.9654,87.9037
970207 2105,87.9037,82.6424
970207 2110,82.6424,86.453
970207 2115,86.453,84.6535
970207 2120,84.6535,81.1667
970207 2125,81.1667,88.952
970207 2130,88.952,85.6621
970207 2135,85.6621,85.8375
970207 2140,85.8375,88.1789
970207 2145,88.1789,88.0707
970207 2150,88.0707,82.8007
970207 2155,82.8007,86.798
970207 2200,86.798,85.709
970207 2205,85.709,80.6772
970207 2210,80.6772,85.0861
970207 2215,85.0861,86.5436
970207 2220,86.5436,89
970207 2225,89,90.3985
970207 2230,90.3985,90.2667
970207 2235,90.2667,88.6061
970207 2240,88.6061,88.1629
970207 2245,88.1629,82.8007
970207 2250,82.8007,87.7532
970207 2255,87.7532,88
970207 2300,88,87.9272
970207 2305,87.9272,88.8045
970207 2310,88.8045,87.9289
970207 2315,87.9289,88.8077
970207 2320,88.8077,88.0872
970207 2325,88.0872,87.5252
970207 2330,87.5252,90.9313
970207 2335,90.9313,90.7165
970207 2340,90.7165,88.1524
970207 2345,88.1524,88.1524
970207 2350,88.1524,89.3648
970207 2355,89.3648,86.7444
970208 0000,86.7444,92.4719
970208 0005,92.4719,92.4235
970208 0010,92.4235,89.9133
970208 0015,89.9133,88.2903
970208 0020,88.2903,90.6355
970208 0025,90.6355,91.549
970208 0030,91.549,89.7312
970208 0035,89.7312,89.5444
970208 0040,89.5444,93.4179
970208 0045,93.4179,92.9876
970208 0050,92.9876,92.9876
970208 0055,92.9876,89.9503
970208 0100,89.9503,90.0541
970208 0105,90.0541,91.072
970208 0110,91.072,90.8217
970208 0115,90.8217,90.2847
970208 0120,90.2847,91.4453
970208 0125,91.4453,87.7692
970208 0130,87.7692,90.3083
970208 0135,90.3083,87.9767
970208 0140,87.9767,92.0826
970208 0145,92.0826,91.6429
970208 0150,91.6429,91.6429
970208 0155,91.6429,93.2929
970208 0200,93.2929,91.1875
970208 0215,91.1875,88.4176
970208 0235,88.4176,89.1368
970208 0240,89.1368,89.908
970208 0250,89.908,89.908
970208 0255,89.908,91.9394
970208 0300,91.9394,89.6667
970208 0305,89.6667,89.7526
970208 0310,89.7526,86.1667
970208 0315,86.1667,91.2941
970208 0320,91.2941,91.2169
970208 0325,91.2169,90.4878
970208 0330,90.4878,89.6316
970208 0335,89.6316,89.0435
970208 0340,89.0435,90.9556
970208 0345,90.9556,92.9848
970208 0350,92.9848,92.9848
970208 0355,92.9848,93.5385
970208 0400,93.5385,89.6515
970208 0405,89.6515,95.3529
970208 0410,95.3529,90.9701
970208 0415,90.9701,89.88
970208 0420,89.88,91.9167
970208 0425,91.9167,91.4648
970208 0430,91.4648,92
970208 0435,92,92.5806
970208 0440,92.5806,88.1489
970208 0445,88.1489,90.9692
970208 0450,90.9692,90.9692
970208 0455,90.9692,92.6182
970208 0500,92.6182,92.9385
970208 0505,92.9385,90.137
970208 0510,90.137,90.2364
970208 0515,90.2364,93.3034
970208 0520,93.3034,92.5176
970208 0525,92.5176,93.1707
970208 0530,93.1707,92.0794
970208 0535,92.0794,93.6456
970208 0540,93.6456,93.5455
970208 0545,93.5455,97.1786
970208 0550,97.1786,97.1786
970208 0555,97.1786,91.2
970208 0600,91.2,93.0119
970208 0605,93.0119,90.3544
