日期和時間,流量(車輛/小時),車速(公里/小時),密度(車輛/公里)
970203 1145,4848,73.052,16.5909
970203 1150,5316,77.5237,17.1431
970203 1155,5316,77.5237,17.1431
970203 1200,6372,66.5424,23.9396
970203 1205,6396,69.4972,23.0081
970203 1210,6984,66.8952,26.1005
970203 1215,4836,82.5186,14.6512
970203 1220,4560,82.6868,13.787
970203 1225,3852,88.8287,10.8411
970203 1230,4056,87.2515,11.6216
970203 1235,4644,84.7494,13.6992
970203 1240,4740,87.5342,13.5376
970203 1245,4932,87.0608,14.1625
970203 1250,4200,85.8057,12.2369
970203 1255,4200,85.8057,12.2369
970203 1300,4740,89.6127,13.2236
970203 1305,4932,86.7129,14.2193
970203 1310,4356,87.6336,12.4267
970203 1315,4548,83.4776,13.6204
970203 1320,4692,79.8491,14.6902
970203 1325,5352,81.5336,16.4104
970203 1330,4692,88.4987,13.2544
970203 1335,5412,79.0111,17.1242
970203 1340,5220,88.5218,14.7421
970203 1345,5316,84.158,15.7917
970203 1350,5640,83.4745,16.8914
970203 1355,5640,83.4745,16.8914
970203 1400,5484,84.3589,16.252
970203 1405,5208,81.8802,15.9013
970203 1410,5196,81.5566,15.9276
970203 1415,5208,75.4194,17.2635
970203 1420,6204,78.3656,19.7919
970203 1425,5172,86.587,14.933
970203 1430,6300,82.0971,19.1846
970203 1435,5028,83.8831,14.9851
970203 1440,6096,77.2421,19.7302
970203 1445,5052,81.9002,15.4212
970203 1450,6024,77.7928,19.3591
970203 1455,6024,77.7928,19.3591
970203 1500,5520,83.5304,16.5209
970203 1505,5928,79.2895,18.691
970203 1510,5592,80.0129,17.4722
970203 1515,5808,83.8306,17.3206
970203 1520,5412,82.2173,16.4564
970203 1525,5388,83.9688,16.0417
970203 1530,5688,81.1835,17.5159
970203 1535,6240,83.5288,18.6762
970203 1540,5184,87.5532,14.8024
970203 1545,5424,84.323,16.081
970203 1550,5964,82.1046,18.1598
970203 1555,5964,82.1046,18.1598
970203 1600,6396,80.4503,19.8756
970203 1605,6360,77.9264,20.4039
970203 1610,5892,81.1609,18.1491
970203 1615,5664,84.3602,16.7852
970203 1620,5988,78.1002,19.1677
970203 1625,5856,80.9201,18.0919
970203 1630,5460,80.4462,16.9679
970203 1635,6120,81.0588,18.8752
970203 1640,5976,81.6406,18.2997
970203 1645,5100,82.9835,15.3645
970203 1650,5892,79.1996,18.5986
970203 1655,5892,79.1996,18.5986
970203 1700,5964,81.3903,18.3191
970203 1705,5616,82.4487,17.0288
970203 1710,5652,74.9384,18.8555
970203 1715,5352,83.6031,16.0042
970203 1720,5172,78.2436,16.5253
970203 1725,6276,76.8738,20.4101
970203 1730,5280,81.0227,16.2917
970203 1735,6708,71.0769,23.5942
970203 1740,5604,83.651,16.7482
970203 1745,5100,79.28,16.0822
970203 1750,5460,78.4044,17.4097
970203 1755,5460,78.4044,17.4097
970203 1800,4812,77.389,15.5448
970203 1805,5184,80.0903,16.1817
970203 1810,5388,75.6882,17.7967
970203 1815,5388,71.1047,18.9439
970203 1820,4800,77.46,15.4919
970203 1825,5088,73.809,17.2337
970203 1830,4464,82.9086,13.4606
970203 1835,4620,79.4442,14.5385
970203 1840,5136,77.7407,16.5165
970203 1845,4572,77.8373,14.6845
970203 1850,4392,79.429,13.8237
970203 1855,4392,79.429,13.8237
970203 1900,4416,74.3886,14.841
970203 1905,4356,79.562,13.6874
970203 1910,4356,76.876,14.1657
970203 1915,4092,75.9531,13.4688
970203 1920,3852,76.3396,12.6147
970203 1925,4824,74.8308,16.1163
970203 1930,5076,72.7376,17.4463
970203 1935,4536,78.4974,14.4463
970203 1940,4392,75.1066,14.6192
970203 1945,4152,76.3931,13.5876
970203 1950,5004,70.3861,17.7734
970203 1955,5004,70.3861,17.7734
970203 2000,4440,83.6162,13.2749
970203 2005,4680,75.1744,15.5638
970203 2010,4452,78.2291,14.2274
970203 2015,5268,76.1754,17.289
970203 2020,4776,79.1608,15.0832
970203 2025,3768,81.4236,11.5691
970203 2030,4764,78.7783,15.1184
970203 2035,4560,81.3579,14.0122
970203 2040,4956,74.0581,16.7301
970203 2045,4980,74.4602,16.7203
970203 2050,4812,79.5835,15.1162
970203 2055,4812,79.5835,15.1162
970203 2100,4920,79.3049,15.5098
970203 2105,5268,79.2369,16.621
970203 2110,5088,79.6226,15.9754
970203 2115,4956,79.2857,15.627
970203 2120,5088,83.4906,15.2353
970203 2125,4236,84.4051,12.5466
970203 2130,4188,84.553,12.3828
970203 2135,4248,82.1356,12.9298
970203 2140,4212,77.567,13.5754
970203 2145,5040,83.3524,15.1165
970203 2150,3684,86.9674,10.5902
970203 2155,3684,86.9674,10.5902
970203 2200,4068,85.7345,11.8622
970203 2205,4344,84.8867,12.7935
970203 2210,4128,87.0262,11.8585
970203 2215,4632,81.1192,14.2753
970203 2220,4032,84.7113,11.8992
970203 2225,3564,88.202,10.1018
970203 2230,4056,85.9379,11.7992
970203 2235,3672,83.866,10.946
970203 2240,3648,88.5066,10.3043
970203 2245,3924,87.263,11.2419
970203 2250,3564,85.5589,10.4139
970203 2255,3564,85.5589,10.4139
970203 2300,3276,90.1099,9.0889
970203 2305,3300,89.3745,9.2308
970203 2310,3528,90.6122,9.7338
970203 2315,2772,87.8268,7.8905
970203 2320,3024,87.0476,8.6849
970203 2325,3072,87.7461,8.7525
970203 2330,2964,87.4696,8.4715
970203 2335,2844,89.5696,7.938
970203 2340,2448,88.7451,6.8962
970203 2345,2604,89.9171,7.24
970203 2350,2352,89.8673,6.543
970203 2355,2352,89.8673,6.543
970204 0000,2580,88.1581,7.3164
970204 0005,2100,88.6571,5.9217
970204 0010,2196,91.0984,6.0265
970204 0015,1932,90.6335,5.3292
970204 0020,2184,91.1484,5.9902
970204 0025,1680,90.3786,4.6471
970204 0030,1668,90.0719,4.6296
970204 0035,1464,93.0164,3.9348
970204 0040,1692,93.2553,4.5359
970204 0045,1380,91.3826,3.7753
970204 0050,1464,89,4.1124
970204 0055,1536,91.6563,4.1896
970204 0100,1332,91.6306,3.6342
970204 0105,1344,92.4821,3.6331
970204 0110,1272,93.9245,3.3857
970204 0115,1476,90.3984,4.0819
970204 0120,1212,88.2277,3.4343
970204 0125,1092,87.6264,3.1155
970204 0130,1044,91.3563,2.8569
970204 0135,996,90.8795,2.7399
970204 0140,1116,91.1505,3.0609
970204 0145,1068,91.1124,2.9304
970204 0150,804,97.6269,2.0589
970204 0155,804,97.6269,2.0589
970204 0200,744,95.129,1.9552
970204 0205,780,92.3077,2.1125
970204 0210,828,92.3478,2.2415
970204 0215,708,89.8814,1.9693
970204 0220,660,92.1091,1.7914
970204 0225,660,92.5273,1.7833
970204 0230,720,92.8833,1.9379
970204 0235,756,96.0794,1.9671
970204 0240,708,92.4576,1.9144
970204 0245,492,92.1463,1.3348
970204 0250,528,94.2045,1.4012
970204 0255,528,94.2045,1.4012
970204 0300,552,85.4783,1.6144
970204 0305,516,92.1163,1.4004
970204 0310,636,93,1.7097
970204 0315,552,91.1739,1.5136
970204 0320,552,93.8261,1.4708
970204 0325,468,91.9231,1.2728
970204 0330,468,92.0769,1.2707
970204 0335,372,92.129,1.0095
970204 0340,432,92.1667,1.1718
970204 0345,420,90.6286,1.1586
970204 0350,420,90.9714,1.1542
970204 0355,420,90.9714,1.1542
970204 0400,420,90.9714,1.1542
970204 0405,420,91.7143,1.1449
970204 0410,384,92.7813,1.0347
970204 0415,420,92.6857,1.1329
970204 0420,456,87.7105,1.2997
970204 0425,468,95.1282,1.2299
970204 0430,480,90.05,1.3326
970204 0435,372,89.0323,1.0446
970204 0440,492,92.4878,1.3299
970204 0445,300,89.52,0.8378
970204 0450,552,88.9348,1.5517
970204 0455,552,88.9348,1.5517
970204 0500,528,89.6136,1.473
970204 0505,504,93.7619,1.3438
970204 0510,540,88.8222,1.5199
970204 0515,648,91.9259,1.7623
970204 0520,768,92.0938,2.0848
970204 0525,780,93.0462,2.0957
970204 0530,756,92.254,2.0487
970204 0535,804,91.6716,2.1926
970204 0540,1092,93.1868,2.9296
970204 0545,888,92.473,2.4007
970204 0550,1296,90.4537,3.5819
970204 0555,1296,90.4537,3.5819
970204 0600,1536,91.9375,4.1768
970204 0605,1296,89.037,3.6389
970204 0610,1980,89.6909,5.519
970204 0615,2124,92.7345,5.726
970204 0620,2028,93.6154,5.4158
970204 0625,2448,91,6.7253
970204 0630,2532,90.4028,7.002
970204 0635,2832,89.8347,7.8811
970204 0640,3468,88.8754,9.7552
970204 0645,3528,84.6497,10.4194
970204 0650,4680,87.8128,13.3238
970204 0655,4680,87.8128,13.3238
970204 0700,6300,74.9905,21.0027
970204 0705,4908,79.9169,15.3535
970204 0710,6192,76.1609,20.3254
970204 0715,6576,76.7318,21.4253
970204 0720,7716,73.2939,26.3187
970204 0725,6732,72.9198,23.0802
970204 0730,6924,72.7383,23.7976
970204 0735,6588,70.9727,23.2061
970204 0740,7128,66.8485,26.6573
970204 0745,7368,66.0537,27.8864
970204 0750,7236,66.3798,27.2523
970204 0755,7236,66.3798,27.2523
970204 0800,6204,72.7234,21.3274
970204 0805,6912,66.4288,26.0128
970204 0810,6564,72.1207,22.7535
970204 0815,7008,72.2568,24.2468
970204 0820,6336,72.9489,21.7138
970204 0825,6336,80.2273,19.7439
970204 0830,6240,76.0827,20.504
970204 0835,6072,77.8142,19.508
970204 0840,6180,74.6233,20.704
970204 0845,5508,69.0131,19.9527
970204 0850,5400,77.4067,17.4404
970204 0855,5400,77.4067,17.4404
970204 0900,5544,75.8896,18.2634
970204 0905,5904,74.4634,19.8218
970204 0910,5436,76.17,17.8417
970204 0915,5112,77.0516,16.5863
970204 0920,5520,73.0652,18.8872
970204 0925,5088,78.2075,16.2644
970204 0930,5484,76.4639,17.93
970204 0935,5292,72.7937,18.1747
970204 0940,5520,64.8565,21.2777
970204 0945,5388,69.7751,19.3049
970204 0950,5472,75.8706,18.0307
970204 0955,5472,75.8706,18.0307
970204 1000,4920,81.5976,15.074
970204 1005,5976,73.6044,20.2977
970204 1010,5664,75.1229,18.8491
970204 1015,5148,76.6387,16.7931
970204 1020,6120,71.1353,21.5083
970204 1025,5628,83.4286,16.8647
970204 1030,5436,79.4238,17.1107
970204 1035,6072,75.664,20.0624
970204 1040,6072,79.1542,19.1778
970204 1045,5412,81.9091,16.5183
970204 1050,5748,78.7349,18.2511
970204 1055,5748,78.7349,18.2511
970204 1100,5508,82.7364,16.6432
970204 1105,5388,79.2294,17.0013
970204 1110,5232,83.0023,15.7586
970204 1115,5244,85.3753,15.3557
970204 1120,5496,79.7249,17.2343
970204 1125,5304,82.7986,16.0148
970204 1130,5256,83.1233,15.8078
970204 1135,5184,82.0625,15.7928
970204 1140,5448,83.5617,16.2993
970204 1145,5676,77.6406,18.2765
970204 1150,6288,78.0916,20.1302
970204 1155,6288,78.0916,20.1302
970204 1200,5592,77.0579,18.1422
970204 1205,4800,84.54,14.1945
970204 1210,5184,67.9028,19.0861
970204 1215,5496,73.3886,18.7222
970204 1220,5604,82.5396,16.9737
970204 1225,4860,80.7259,15.0509
970204 1230,5016,77.5431,16.1717
970204 1235,5460,74.0154,18.4421
970204 1240,5124,77.9766,16.428
970204 1245,5544,76.5974,18.0946
970204 1250,5208,79.6106,16.3546
970204 1255,5208,79.6106,16.3546
970204 1300,4824,79.9652,15.0816
970204 1305,5664,76.4979,18.5103
970204 1310,5448,76.7115,17.7548
970204 1315,5736,76.2929,18.796
970204 1320,5208,80.8157,16.1107
970204 1325,5568,80.056,17.3878
970204 1330,5460,82.5165,16.5421
970204 1335,5916,76.8925,19.2346
970204 1340,5616,81.0128,17.3306
970204 1345,5064,81.1848,15.594
970204 1350,6012,76.477,19.653
970204 1355,6012,76.477,19.653
970204 1400,5700,81.2611,17.5361
970204 1405,5496,81.2402,16.9128
970204 1410,6912,66.7396,25.8917
970204 1415,7344,67.1111,27.3576
970204 1420,6936,73.6644,23.5392
970204 1425,6324,76.8596,20.57
970204 1430,6588,71.9472,22.8918
970204 1435,6348,76.8639,20.6469
970204 1440,6600,71.7982,22.9811
970204 1445,6336,76.5398,20.6951
970204 1450,6120,76.9471,19.8838
970204 1455,6120,76.9471,19.8838
970204 1500,6168,74.7802,20.6204
970204 1505,6180,75.6505,20.4229
970204 1510,5508,75.732,18.1825
970204 1515,6048,77.9782,19.39
970204 1520,5508,82.037,16.7851
970204 1525,5628,80.3603,17.5086
970204 1530,5760,80.0646,17.9855
970204 1535,5796,72.4824,19.9911
970204 1540,5700,77.7979,18.3167
970204 1545,5700,76.48,18.6323
970204 1550,5424,76.0398,17.8328
970204 1555,5424,76.0398,17.8328
970204 1600,5712,75.395,18.9403
970204 1605,5724,73.1509,19.5623
970204 1610,5868,73.227,20.0336
970204 1615,5928,76.2915,19.4255
970204 1620,6276,71.7667,21.8625
970204 1625,6408,75.809,21.1321
970204 1630,6216,72.6409,21.3929
970204 1635,6276,74.4589,21.072
970204 1640,5652,73.9342,19.1116
970204 1645,7176,62.3227,28.7856
970204 1650,6204,67.6867,22.9144
970204 1655,6204,67.6867,22.9144
970204 1700,6240,72.0423,21.6539
970204 1705,5832,72.5453,20.0978
970204 1710,5880,69.7306,21.0811
970204 1715,6504,71.1015,22.8687
970204 1720,6180,69.4854,22.2349
970204 1725,6072,72.2154,21.0204
970204 1730,6144,65.8848,23.3134
970204 1735,6564,70.159,23.3897
970204 1740,5832,73.9136,19.7257
970204 1745,6132,66.591,23.0211
970204 1750,5952,76,19.5789
970204 1755,5952,76,19.5789
970204 1800,5592,70.5365,19.8195
970204 1805,5448,68.4053,19.9107
970204 1810,5040,76.581,16.4532
970204 1815,5436,70.819,19.1898
970204 1820,5424,75.542,17.9503
970204 1825,5592,70.2597,19.8976
970204 1830,5760,70.3417,20.4715
970204 1835,5280,69.7773,18.9173
970204 1840,5220,79.3471,16.4467
970204 1845,5304,77.509,17.1077
970204 1850,5088,79.4222,16.0157
970204 1855,5088,79.4222,16.0157
970204 1900,5520,70.6043,19.5455
970204 1905,5328,78.9414,16.8733
970204 1910,4116,76.828,13.3936
970204 1915,4992,78.8726,15.823
970204 1920,4680,81.7333,14.3148
970204 1925,4740,74.9114,15.8187
970204 1930,4884,81.8034,14.926
970204 1935,4956,80.908,15.3137
970204 1940,4260,80.1268,13.2914
970204 1945,4764,73.0529,16.3033
970204 1950,3888,81.2469,11.9635
970204 1955,3888,81.2469,11.9635
970204 2000,4272,84.4663,12.6441
970204 2005,4572,80.7428,14.1561
970204 2010,3864,75.795,12.7449
970204 2015,5172,72.9652,17.7208
970204 2020,4260,83.4366,12.7642
970204 2025,4824,78.9104,15.2831
970204 2030,4776,80.8894,14.7609
970204 2035,4704,81.7755,14.3808
970204 2040,4272,80.1685,13.3219
970204 2045,5160,79.5674,16.2127
970204 2050,4740,78.8506,15.0284
970204 2055,4740,78.8506,15.0284
970204 2100,4956,79.1937,15.6452
970204 2105,4596,78.4726,14.6421
970204 2110,4776,80.3819,14.8541
970204 2115,4860,79.2543,15.3304
970204 2120,4296,80.8603,13.2822
970204 2125,4068,83.6962,12.1511
970204 2130,4284,77.7759,13.7703
970204 2135,4296,82.0112,13.0958
970204 2140,4416,80.2255,13.7612
970204 2145,3804,77.5205,12.2677
970204 2150,3720,77.2742,12.0351
970204 2155,3720,77.2742,12.0351
970204 2200,4500,78.8507,14.2675
970204 2205,4176,78.7586,13.2557
970204 2210,4308,78.3649,13.7434
970204 2215,3672,78.1634,11.7446
970204 2220,3804,80.6782,11.7876
970204 2225,3924,81.9572,11.9697
970204 2230,3816,81.6855,11.6789
970204 2235,3624,83.8477,10.8053
970204 2240,3396,83.9965,10.1076
970204 2245,3024,82.4881,9.165
970204 2250,3480,82.0552,10.6026
970204 2255,3480,82.0552,10.6026
970204 2300,3096,85.8217,9.0187
970204 2305,2496,84.6394,7.3725
970204 2310,2724,83.837,8.1229
970204 2315,2952,85.5813,8.6234
970204 2320,2760,84.7391,8.1426
970204 2325,2820,83.3787,8.4554
970204 2330,3264,83.8015,9.7373
970204 2335,2616,86.3028,7.578
970204 2340,2736,85.7237,7.9791
970204 2345,2988,84.5582,8.8341
970204 2350,2868,85.4435,8.3915
970204 2355,2868,85.4435,8.3915
970207 0000,2496,83.3846,7.4834
970207 0005,2544,87.7547,7.2475
970207 0010,2304,90.6042,6.3573
970207 0015,2016,89.9821,5.6011
970207 0020,1704,92.0563,4.6276
970207 0025,2208,90.5815,6.094
970207 0030,2208,89.038,6.1996
970207 0035,2256,90.2074,6.2523
970207 0040,2352,90.352,6.5079
970207 0045,2160,92.3111,5.8498
970207 0050,2208,91.4239,6.0378
970207 0055,2208,91.4239,6.0378
970207 0100,2112,90.983,5.8033
970207 0105,1716,91.7413,4.6762
970207 0110,1896,91.7848,5.1643
970207 0115,2136,90.2079,5.9197
970207 0120,1656,93.4275,4.4312
970207 0125,1680,93.1143,4.5106
970207 0130,1428,90.1597,3.9596
970207 0135,1500,90.904,4.1252
970207 0140,1548,91.6589,4.2222
970207 0145,1392,91.7931,3.7911
970207 0150,1344,89.9107,3.737
970207 0155,1344,89.9107,3.737
970207 0200,1056,91.2159,2.8942
970207 0205,1176,89.8367,3.2726
970207 0210,996,89.8193,2.7722
970207 0215,1200,92.59,3.2401
970207 0220,1224,96.8137,3.1607
970207 0225,972,90.8148,2.6758
970207 0230,1056,95.2841,2.7707
970207 0235,780,92.4,2.1104
970207 0240,1068,94.7528,2.8179
970207 0245,996,92.494,2.6921
970207 0250,1116,93.3763,2.9879
970207 0255,1116,93.3763,2.9879
970207 0300,888,92.8108,2.392
970207 0305,864,94.5833,2.2837
970207 0310,804,94.8358,2.1195
970207 0315,780,94.8923,2.055
970207 0320,768,94.9063,2.023
970207 0325,756,96.3968,1.9606
970207 0330,672,93.5,1.7968
970207 0335,732,93.4918,1.9574
970207 0340,636,89.0377,1.7858
970207 0345,636,89.0377,1.7858
970207 0355,708,92.9153,1.905
970207 0425,612,90.0196,1.6996
970207 0430,852,93.0704,2.2886
970207 0435,576,90.75,1.5868
970207 0440,612,90.7059,1.6868
970207 0445,492,88.8293,1.3847
970207 0450,780,89.3846,2.1816
970207 0455,888,89.7162,2.4745
970207 0500,684,90.0351,1.8993
970207 0505,852,93.0845,2.2882
970207 0510,720,87.9333,2.047
970207 0515,720,87.7333,2.0517
970207 0520,948,88.2911,2.6843
970207 0525,1128,90.6596,3.1105
970207 0530,948,88.6203,2.6743
970207 0535,1032,92.5116,2.7888
970207 0540,1104,88.8804,3.1053
970207 0545,1044,90.7701,2.8754
970207 0550,1332,92.6036,3.596
970207 0600,1296,92.7315,3.494
970207 0605,816,91.2941,2.2345
970207 0610,1044,92.3793,2.8253
970207 0615,972,90.321,2.6904
970207 0620,888,91.1892,2.4345
970207 0625,1092,91.3077,2.9899
970207 0630,1212,92.1881,3.2868
970207 0635,1464,92.1557,3.9715
970207 0640,1344,92.3571,3.6381
970207 0645,1488,94.2903,3.9453
970207 0650,1272,94.9811,3.348
970207 0655,1272,94.9811,3.348
970207 0700,1704,91.0986,4.6763
970207 0705,1476,91.4715,4.034
970207 0715,1476,92.6667,3.982
970207 0720,1380,93.2087,3.7014
970207 0740,1812,93.2185,4.8595
970207 0750,1344,93.4464,3.5956
970207 0755,1344,93.4464,3.5956
970207 0800,1896,94.8228,4.9988
970207 0805,1584,93.1591,4.2508
970207 0810,1644,92.3212,4.4519
970207 0815,1992,93.1205,5.3479
970207 0820,1788,92.3624,4.8396
970207 0825,1884,94.4076,4.989
970207 0855,1560,91.0692,4.2825
970207 0900,2148,92.5028,5.8052
970207 0905,2220,90.7946,6.1127
970207 0910,2052,92.3567,5.5545
970207 0915,1872,92.2308,5.0742
970207 0920,2004,91.7665,5.4595
970207 0925,2184,91.3681,5.9758
970207 0930,2208,91.212,6.0518
970207 0935,2652,89.8009,7.383
970207 0940,2484,91.1981,6.8094
970207 0945,2832,90.8898,7.7897
970207 1030,3504,86.113,10.1727
970207 1035,3792,86.6835,10.9363
970207 1040,4260,87.3549,12.1916
970207 1045,3660,88.682,10.3178
970207 1050,4464,87.2688,12.7881
970207 1055,4464,87.2688,12.7881
970207 1100,3816,87.0063,10.9647
970207 1105,4848,86.401,14.0276
970207 1115,4500,84.8107,13.2648
970207 1120,4260,86.8141,12.2676
970207 1140,5244,86.7963,15.1043
970207 1155,4260,86.8141,12.2676
970207 1200,4224,81.7557,12.9165
970207 1205,4140,83.7971,12.3513
970207 1210,4260,84.769,12.5636
970207 1215,4020,85.2567,11.7879
970207 1220,3672,87.281,10.5177
970207 1225,3768,86.6146,10.8758
970207 1230,3828,85.9561,11.1336
970207 1235,3768,87.051,10.8212
970207 1240,3948,87.6261,11.2638
970207 1245,4068,87.8643,11.5747
970207 1250,3612,87.9302,10.2695
970207 1255,3612,87.9302,10.2695
970207 1300,3636,88.0759,10.3206
970207 1305,3972,86.3837,11.4952
970207 1310,4296,85.2961,12.5914
970207 1315,3936,87.3659,11.263
970207 1320,4200,84.2543,12.4623
970207 1325,3780,86.0952,10.9762
970207 1330,4176,83.2672,12.5379
970207 1335,4176,83.2672,12.5379
970207 1355,3528,88.3299,9.9853
970207 1410,4800,75.13,15.9723
970207 1415,5004,79.2182,15.7918
970207 1420,4668,83.6761,13.9466
970207 1425,4980,78.7277,15.814
970207 1430,4308,82.2925,13.0875
970207 1435,4080,83.0647,12.2796
970207 1440,4872,78.931,15.4312
970207 1445,5784,75.5394,19.1423
970207 1450,5508,79.7407,17.2685
970207 1455,5508,79.7407,17.2685
970207 1500,3768,79.7643,11.8098
970207 1530,4848,69.4233,17.4581
970207 1535,5328,75.3964,17.6666
970207 1540,5136,78.8762,16.2787
970207 1545,4920,80.9634,15.192
970207 1550,4920,80.9634,15.192
970207 1555,4368,81.6731,13.3704
970207 1615,4500,78.9627,14.2472
970207 1620,4260,82.2197,12.9531
970207 1625,4284,81.1597,13.1962
970207 1630,4656,80.5103,14.4578
970207 1635,4848,79.052,15.3317
970207 1640,4224,81.5625,12.9471
970207 1650,5052,77.658,16.2636
970207 1655,4344,80.1851,13.5437
970207 1700,4536,82.8571,13.6862
970207 1705,4512,83.5612,13.4991
970207 1710,4188,84.0143,12.4622
970207 1715,4068,85.1622,11.9419
970207 1720,4836,83.139,14.5419
970207 1725,4812,83.2968,14.4423
970207 1730,4620,84.9247,13.6003
970207 1735,3444,87.2753,9.8653
970207 1740,4908,82.4963,14.8734
970207 1745,4908,82.4963,14.8734
970207 1750,4344,80.1851,13.5437
970207 1755,3888,84.6883,11.4774
970207 1800,3552,85.2703,10.4139
